
ID	Entity	Description	Function
23	AIBL	Amphid interneuron	Integration of information from amphid sensory neurons; AIBL/R is one of the four first layer amphid interneuron pairs (AIA, AIB, AIY, and AIZ) that receives and processes synaptic output from the amphid sensory neurons. AIA pair is suggested to sum inputs from various chemosensory neurons before passing the information on to AIB pair, which synapses onto motor neurons (AIA-AIB connections are likely to be inhibitory) (Wakayabashi et al., 2004).
24	AIBR	Amphid interneuron	Integration of information from amphid sensory neurons; AIBL/R is one of the four first layer amphid interneuron pairs (AIA, AIB, AIY, and AIZ) that receives and processes synaptic output from the amphid sensory neurons. AIA pair is suggested to sum inputs from various chemosensory neurons before passing the information on to AIB pair, which synapses onto motor neurons (AIA-AIB connections are likely to be inhibitory) (Wakayabashi et al., 2004).
25	AIML	Ring interneurons bridging between sensory inputs	Serotonin secreted by both synaptic vesicles and dense core vesicles seem to diffuse readily to the extrasynaptic space adjacent to the AIM and RIH neurons. Among 5 classes (NSM, ADF, HSN, AIM, RIH) of serotonergic neurons, RIH and AIM mainly take up serotonin from outside -produced by the remaining serotonergic neurons- via the membrane serotonin transporter (MOD-5/SERT), rather than synthesizing it themselves (Jafari et al., 2011).
26	AIMR	Ring interneurons bridging between sensory inputs	Serotonin secreted by both synaptic vesicles and dense core vesicles seem to diffuse readily to the extrasynaptic space adjacent to the AIM and RIH neurons. Among 5 classes (NSM, ADF, HSN, AIM, RIH) of serotonergic neurons, RIH and AIM mainly take up serotonin from outside -produced by the remaining serotonergic neurons- via the membrane serotonin transporter (MOD-5/SERT), rather than synthesizing it themselves (Jafari et al., 2011).
27	AINL	Ring interneuron	AIN is presynaptic to AFD, however, the significance of this connection is not yet clear.
28	AINR	Ring interneuron	AIN is presynaptic to AFD, however, the significance of this connection is not yet clear.
29	AIYL	Amphid interneuron	AIY neurons are postsynaptic to several olfactory and gustatory sensory neurons, such as ASE, ASI, AWA, AWC and AFD, and are presumed to play an integrative role, processing multiple streams of sensory information. They have a key role in behavioral plasticity in paradigms in which starvation is paired with a thermal or chemical cue (de Bono and Maricq, 2005; Ishihara et al., 2002).
30	AIYR	Amphid interneuron	AIY neurons are postsynaptic to several olfactory and gustatory sensory neurons, such as ASE, ASI, AWA, AWC and AFD, and are presumed to play an integrative role, processing multiple streams of sensory information. They have a key role in behavioral plasticity in paradigms in which starvation is paired with a thermal or chemical cue (de Bono and Maricq, 2005; Ishihara et al., 2002).
31	AIZL	Ring Interneurons	Integration of information from amphid sensory neurons; AIZL/R is one of the four first layer amphid interneuron pairs (AIA, AIB, AIY, and AIZ) that receive and process synaptic output from the amphid sensory neurons towards a behavioral response. Along with the second layer RIA and RIB interneurons, AIZ also receives heavy input from the first layer AIA, AIB, AIY interneurons and itself sends inputs to RIA and RIB. Additionally, it synapses directly onto SMB head motor neurons .
32	AIZR	Ring Interneurons	Integration of information from amphid sensory neurons; AIZL/R is one of the four first layer amphid interneuron pairs (AIA, AIB, AIY, and AIZ) that receive and process synaptic output from the amphid sensory neurons towards a behavioral response. Along with the second layer RIA and RIB interneurons, AIZ also receives heavy input from the first layer AIA, AIB, AIY interneurons and itself sends inputs to RIA and RIB. Additionally, it synapses directly onto SMB head motor neurons .
33	ALA	Has two processes that branch from the anterior po	- Involved in inducing normal lethargus quiescence (i.e., cessation of pharyngeal pumping and locomotion during the lethargus periods (an EGF/LET-23-induced sleep-like state prior to molts). ALA neuron inhibits locomotion by inhibiting AVE, which normally functions to promote locomotion. Synapse between ALA and AVE is contacted by the CEPsh glia and CEPsh cells inhibit synaptic transmission from ALA to AVE, promoting locomotion.
34	ALML	Anterior lateral microtubule cells, touch receptor	Along with AVM and PLM, sense touch to the body and provide input to the command (inter) neurons (PVC, AVB, AVD, AVA) via both synaptic connections and gap junctions (Chalfie et al., 1985). The touch cells form gap junctions with agonist interneurons and chemical synapses with the antagonist interneurons. Hence, the anterior touch cells ALML/R and AVM form gap junctions with the backward movement interneuron AVD, but they provide synaptic input to the forward interneurons (AVB and PVC) (Kaplan and Driscoll, 1997; Goodman, 2006). See body touch circuit here.
35	ALMR	Anterior lateral microtubule cells, touch receptor	Along with AVM and PLM, sense touch to the body and provide input to the command (inter) neurons (PVC, AVB, AVD, AVA) via both synaptic connections and gap junctions (Chalfie et al., 1985). The touch cells form gap junctions with agonist interneurons and chemical synapses with the antagonist interneurons. Hence, the anterior touch cells ALML/R and AVM form gap junctions with the backward movement interneuron AVD, but they provide synaptic input to the forward interneurons (AVB and PVC) (Kaplan and Driscoll, 1997; Goodman, 2006). See body touch circuit here.
36	ALNL	Neurons associated with ALM, send processes into t	 
37	ALNR	Neurons associated with ALM, send processes into t	 
38	AQR	Postembryonically born neuron with rudimentary cil	Along with PQR, URX and AUA, AQR regulate social feeding (or aggregation on a bacterial lawn) and bordering (the accumulation of animals on the thickest part of a bacterial lawn) behavior since suppressing the activity of AQR, PQR and URX neurons inhibits social feeding (Coates and de Bono , 2002). AQR, PQR and URXfunction as sensors of environmental oxygen which is a quantitative regulator of social feeding (Gray et al., 2004). Decreases in oxygen leads to a dose-dependent suppression of social feeding behavior and bordering. Oxygen acts in parallel to NPR-1 in regulating social feeding behavior.
39	AS1	Ventral cord motor neurons, born postembryonically	 
40	AS2	Ventral cord motor neurons, born postembryonically	 
41	AS3	Ventral cord motor neurons, born postembryonically	 
42	AS4	Ventral cord motor neurons, born postembryonically	 
43	AS5	Ventral cord motor neurons, born postembryonically	 
44	AS6	Ventral cord motor neurons, born postembryonically	 
45	AS7	Ventral cord motor neurons, born postembryonically	 
46	AS8	Ventral cord motor neurons, born postembryonically	 
47	AS9	Ventral cord motor neurons, born postembryonically	 
48	AS10	Ventral cord motor neurons, born postembryonically	 
49	AS11	Ventral cord motor neurons, born postembryonically	 
50	ASEL	Amphid neurons, single ciliated endings, project i	- Involved in chemotaxis to cAMP, biotin, Cl-, Na+ and lysine; ASEL is primarily sensitive to Na+ , whereas ASER is primarily sensitive to Cl- and K+ (Pierce-Shimomura et al., 2001; Bargmann and Horvitz, 1991; ). Opposite intacellular Ca++ transients are suggested to be generated in ASEL and ASER in response to changes in NaCl concentrations (Suzuki et al., 2004).
51	ASER	Amphid neurons, single ciliated endings, project i	- Involved in chemotaxis to cAMP, biotin, Cl-, Na+ and lysine; ASEL is primarily sensitive to Na+ , whereas ASER is primarily sensitive to Cl- and K+ (Pierce-Shimomura et al., 2001; Bargmann and Horvitz, 1991; ). Opposite intacellular Ca++ transients are suggested to be generated in ASEL and ASER in response to changes in NaCl concentrations (Suzuki et al., 2004).
52	ASGL	Amphid neurons, single ciliated endings, project i	Involved in chemotaxis to lysine, contribute to a residual chemotactic response to cAMP, biotin, Cl-, and Na+ after ASE is killed (Bargmann and Horvitz, 1991). Controls entry into dauer stage (Bargmann and Horvitz, 1991).
53	ASGR	Amphid neurons, single ciliated endings, project i	Involved in chemotaxis to lysine, contribute to a residual chemotactic response to cAMP, biotin, Cl-, and Na+ after ASE is killed (Bargmann and Horvitz, 1991). Controls entry into dauer stage (Bargmann and Horvitz, 1991).
54	ASHL	Amphid neurons, single ciliated endings, project i	- ASH plays a major role in avoidance responses to nose touch, hyperosmolarity (note: a mutation in the glr-1 (glutamate receptor subunit) gene which acts in synaptic targets of the ASH neurons, eliminates the response to nose touch but not to osmotic repellents), volatile repellent chemicals (1-octanol), heavy metals (Cd++ and Cu++), detergents/SDS, protons, alkaloids such as quinine (ASH is the main sensory neuron responsible for quinine detection and ASK plays a minor role) (de Bono & Villu Maricq, 2005; Bargmann, 2006; Hilliard et al, 2004; Hiliard et al., 2002; Hart et al., 1999; Sambongi et al., 2000; Sambongi et al., 1999; Troemel et al., 1995; Bargmann et al, 1990; Culotti & Russell 1978.)
55	ASHR	Amphid neurons, single ciliated endings, project i	- ASH plays a major role in avoidance responses to nose touch, hyperosmolarity (note: a mutation in the glr-1 (glutamate receptor subunit) gene which acts in synaptic targets of the ASH neurons, eliminates the response to nose touch but not to osmotic repellents), volatile repellent chemicals (1-octanol), heavy metals (Cd++ and Cu++), detergents/SDS, protons, alkaloids such as quinine (ASH is the main sensory neuron responsible for quinine detection and ASK plays a minor role) (de Bono & Villu Maricq, 2005; Bargmann, 2006; Hilliard et al, 2004; Hiliard et al., 2002; Hart et al., 1999; Sambongi et al., 2000; Sambongi et al., 1999; Troemel et al., 1995; Bargmann et al, 1990; Culotti & Russell 1978.)
56	ASIL	Amphid neurons, single ciliated endings, project i	Gustatory sensory neurons. The main synpatic output of ASI is on to AIA interneuron.
57	ASIR	Amphid neurons, single ciliated endings, project i	Gustatory sensory neurons. The main synpatic output of ASI is on to AIA interneuron.
58	ASJL	Amphid neurons, single ciliated endings, project i	Controls exit from dauer stage (Bargmann and Horvitz, 1991).
59	ASJR	Amphid neurons, single ciliated endings, project i	Controls exit from dauer stage (Bargmann and Horvitz, 1991).
60	ASKL	Amphid neurons, single ciliated endings, project i	- Involved in chemotaxis to lysine (Bargmann and Horvitz, 1991).
61	ASKR	Amphid neurons, single ciliated endings, project i	- Involved in chemotaxis to lysine (Bargmann and Horvitz, 1991).
62	AUAL	Neuron, process runs with amphid processes but lac	Regulate social feeding behavior along with AQR, PQR and URX neurons (Coates and de Bono, 2002).
63	AUAR	Neuron, process runs with amphid processes but lac	Regulate social feeding behavior along with AQR, PQR and URX neurons (Coates and de Bono, 2002).
64	AVAL	Ventral cord interneuron	Command interneuron. Functions as driver cell for backward locomotion. Drives backward movement of the animal along with touch modulator AVD neuron, AVE and A-type motor neurons.
65	AVAR	Ventral cord interneuron	Command interneuron. Functions as driver cell for backward locomotion. Drives backward movement of the animal along with touch modulator AVD neuron, AVE and A-type motor neurons.
66	AVBL	Ventral cord interneuron	Command interneuron. Functions as driver cell for forward locomotion. Drives forward movement of the animal along with the touch modulator, PVC, and B-type motor neurons.
67	AVBR	Ventral cord interneuron	Command interneuron. Functions as driver cell for forward locomotion. Drives forward movement of the animal along with the touch modulator, PVC, and B-type motor neurons.
68	AVDL	Ventral cord interneuron	Command interneuron. Functions as touch modulator for backward locomotion induced by head-touch. Drives backward movement of the animal along with driver cell AVA neuron, AVE and A-type motor neurons
69	AVDR	Ventral cord interneuron	Command interneuron. Functions as touch modulator for backward locomotion induced by head-touch. Drives backward movement of the animal along with driver cell AVA neuron, AVE and A-type motor neurons
70	AVEL	Ventral cord interneuron, like AVD but outputs res	Command interneuron. Drive backward movement of the animal along with AVA, AVD and A-type motor neurons.
71	AVER	Ventral cord interneuron, like AVD but outputs res	Command interneuron. Drive backward movement of the animal along with AVA, AVD and A-type motor neurons.
72	AVFL	Interneuron	 
73	AVFR	Interneuron	 
74	AVG	Ventral cord interneuron	Anterior guidepost neuron. AVG pioneers the right tract of the ventral nerve cord. It expresses UNC-6 at 3-fold embryo stage to provide a continuous UNC-6 (netrin)-labeled pathway restricted to the right tract of the nerve cord. The unilateral UNC-6 cue from AVG guides various paired axons growing from the nerve ring and lumbar ganglia to make rightward decussations as they enter the ventral nerve cord. UNC-6 also promotes bundling of axons within the cord itself. If the parent of AVG is ablated in wild-type embryos, interneurons and ventral cord motor neurons form several small fascicles rather than one tight bundle of right side tract and occasionally the right side axons shift to the left side (Wadsworth et al., 1996; Wadsworth and Hedgecock, 1986; Durbin 1987; Antebi et al., 1997).
75	AVHL	Neuron, mainly postsynaptic in ventral cord and pr	 
76	AVHR	Neuron, mainly postsynaptic in ventral cord and pr	 
77	AVJL	Neuron, synapses like AVHL/R	 
78	AVJR	Neuron, synapses like AVHL/R	 
79	AVKL	Ring and ventral cord interneuron	 
80	AVKR	Ring and ventral cord interneuron	 
81	AVL	Ring and ventral cord interneuron and an excitator	Defecation. AVL and DVB are excitatory GABAergic motor neurons for the enteric muscles (Avery and Thomas, 1997; McIntire et al., 1993). Together with DVB, activates expulsion muscle contraction (E.p or EMC), also required for anterior body contraction (aBoc) step in defecation motor program (DMP).
82	AVM	Anterior ventral microtubule cell, touch receptor	 
83	AWAL	Amphid wing cells, neurons having ciliated sheet-l	Chemotaxis to diacetyl, pyrazine, trimethylthiazole (Bargmann et al., 1993). One of the three core sensory neurons (AWA, AWC, ASK) that are required for sexual-attraction in males (White and Jorgensen, 2012).
84	AWAR	Amphid wing cells, neurons having ciliated sheet-l	Chemotaxis to diacetyl, pyrazine, trimethylthiazole (Bargmann et al., 1993). One of the three core sensory neurons (AWA, AWC, ASK) that are required for sexual-attraction in males (White and Jorgensen, 2012).
85	AWBL	Amphid wing cells, neurons having ciliated sheet-l	Avoidance from 2-nonanone, 1-octanol (Troemel et al., 1997).
86	AWBR	Amphid wing cells, neurons having ciliated sheet-l	Avoidance from 2-nonanone, 1-octanol (Troemel et al., 1997).
87	AWCL	Amphid wing cells, neurons having ciliated sheet-l	- AWC olfactory neurons are critical for chemotaxis to volatile odorants, (e.g. chemotaxis to benzaldehyde, butanone, isoamylalcohol, 2,3 pentanedione and 2,4,5 trimethylthiazole)
88	AWCR	Amphid wing cells, neurons having ciliated sheet-l	- AWC olfactory neurons are critical for chemotaxis to volatile odorants, (e.g. chemotaxis to benzaldehyde, butanone, isoamylalcohol, 2,3 pentanedione and 2,4,5 trimethylthiazole)
89	BAGL	Neuron, ciliated ending in head, no supporting cel	A neural circuit that includes BAG neurons mediate acute CO2 avoidance (Hallem and Sternberg, 2008; Bretscher et al., 2008)
90	BAGR	Neuron, ciliated ending in head, no supporting cel	A neural circuit that includes BAG neurons mediate acute CO2 avoidance (Hallem and Sternberg, 2008; Bretscher et al., 2008)
91	BDUL	Neuron, process runs along excretory canal and int	Express neuropeptide-like proteins, NLP-1 and NLP-15 (Nathoo et al., 2001).
92	BDUR	Neuron, process runs along excretory canal and int	Express neuropeptide-like proteins, NLP-1 and NLP-15 (Nathoo et al., 2001).
93	CANL	Process runs along excretory canal, no synapses, e	 
94	CANR	Process runs along excretory canal, no synapses, e	 
95	CEPDL	Cephalic neurons, contain dopamine	Mechanosensory function in the head. When well-fed C. elegans hermaphrodites are washed clean of bacteria and then reintroduced to the bacterial lawn, they move more slowly than when transferred to an environment without bacteria. This behavior is described as "basal slowing response". The three classes of dopaminergic neurons (CEPs, ADEs, and PDEs) function redundantly to sense the mechanosensory stimulus from bacteria and mediate the motor circuit to control this behavioral change (Sawin et al., 2000).
96	CEPDR	Cephalic neurons, contain dopamine	Mechanosensory function in the head. When well-fed C. elegans hermaphrodites are washed clean of bacteria and then reintroduced to the bacterial lawn, they move more slowly than when transferred to an environment without bacteria. This behavior is described as "basal slowing response". The three classes of dopaminergic neurons (CEPs, ADEs, and PDEs) function redundantly to sense the mechanosensory stimulus from bacteria and mediate the motor circuit to control this behavioral change (Sawin et al., 2000).
97	CEPVL	Cephalic neurons, contain dopamine	Mechanosensory function in the head. When well-fed C. elegans hermaphrodites are washed clean of bacteria and then reintroduced to the bacterial lawn, they move more slowly than when transferred to an environment without bacteria. This behavior is described as "basal slowing response". The three classes of dopaminergic neurons (CEPs, ADEs, and PDEs) function redundantly to sense the mechanosensory stimulus from bacteria and mediate the motor circuit to control this behavioral change (Sawin et al., 2000).
98	CEPVR	Cephalic neurons, contain dopamine	Mechanosensory function in the head. When well-fed C. elegans hermaphrodites are washed clean of bacteria and then reintroduced to the bacterial lawn, they move more slowly than when transferred to an environment without bacteria. This behavior is described as "basal slowing response". The three classes of dopaminergic neurons (CEPs, ADEs, and PDEs) function redundantly to sense the mechanosensory stimulus from bacteria and mediate the motor circuit to control this behavioral change (Sawin et al., 2000).
99	DA1	Ventral cord motor neurons, innervate dorsal muscl	Backward locomotion. DA's receive input from the driver interneuron AVA, and modulator interneurons AVD and AVE. They send output to VD neurons.
100	DA2	Ventral cord motor neurons, innervate dorsal muscl	Backward locomotion. DA's receive input from the driver interneuron AVA, and modulator interneurons AVD and AVE. They send output to VD neurons.
101	DA3	Ventral cord motor neurons, innervate dorsal muscl	Backward locomotion. DA's receive input from the driver interneuron AVA, and modulator interneurons AVD and AVE. They send output to VD neurons.
102	DA4	Ventral cord motor neurons, innervate dorsal muscl	Backward locomotion. DA's receive input from the driver interneuron AVA, and modulator interneurons AVD and AVE. They send output to VD neurons.
103	DA5	Ventral cord motor neurons, innervate dorsal muscl	Backward locomotion. DA's receive input from the driver interneuron AVA, and modulator interneurons AVD and AVE. They send output to VD neurons.
104	DA6	Ventral cord motor neurons, innervate dorsal muscl	Backward locomotion. DA's receive input from the driver interneuron AVA, and modulator interneurons AVD and AVE. They send output to VD neurons.
105	DA7	Ventral cord motor neurons, innervate dorsal muscl	Backward locomotion. DA's receive input from the driver interneuron AVA, and modulator interneurons AVD and AVE. They send output to VD neurons.
106	DA8	Ventral cord motor neurons, innervate dorsal muscl	Backward locomotion. DA's receive input from the driver interneuron AVA, and modulator interneurons AVD and AVE. They send output to VD neurons.
107	DA9	Ventral cord motor neurons, innervate dorsal muscl	Backward locomotion. DA's receive input from the driver interneuron AVA, and modulator interneurons AVD and AVE. They send output to VD neurons.
108	DB1	Ventral cord motor neurons, innervate dorsal muscl	Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons.
109	DB2	Ventral cord motor neurons, innervate dorsal muscl	Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons.
110	DB3	Ventral cord motor neurons, innervate dorsal muscl	Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons.
111	DB4	Ventral cord motor neurons, innervate dorsal muscl	Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons.
112	DB5	Ventral cord motor neurons, innervate dorsal muscl	Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons.
113	DB6	Ventral cord motor neurons, innervate dorsal muscl	Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons.
114	DB7	Ventral cord motor neurons, innervate dorsal muscl	Forward locomotion. DB's receive input from the command interneurons, AVB and PVC. They send output to VD neurons.
115	DD1	Ventral cord motor neurons, reciprocal inhibitors,	Sinusoidal body movement. DD's receive input from VA and VB neurons, and hence, are likely to be active during ventral muscle contractions. They form neuromuscular junctions dorsally that coordinately relax the dorsal muscles during ventral muscle contraction (Driscoll and Kaplan, 1997). D-type neurons may also regulate the wave amplitude of the sinusoidal movement since unc-25 and unc-30 mutants that lack functional D neurons generate rhythmic sinusoidal movement with a reduced amplitude (McIntire et al., 1993).
116	DD2	Ventral cord motor neurons, reciprocal inhibitors,	Sinusoidal body movement. DD's receive input from VA and VB neurons, and hence, are likely to be active during ventral muscle contractions. They form neuromuscular junctions dorsally that coordinately relax the dorsal muscles during ventral muscle contraction (Driscoll and Kaplan, 1997). D-type neurons may also regulate the wave amplitude of the sinusoidal movement since unc-25 and unc-30 mutants that lack functional D neurons generate rhythmic sinusoidal movement with a reduced amplitude (McIntire et al., 1993).
117	DD3	Ventral cord motor neurons, reciprocal inhibitors,	Sinusoidal body movement. DD's receive input from VA and VB neurons, and hence, are likely to be active during ventral muscle contractions. They form neuromuscular junctions dorsally that coordinately relax the dorsal muscles during ventral muscle contraction (Driscoll and Kaplan, 1997). D-type neurons may also regulate the wave amplitude of the sinusoidal movement since unc-25 and unc-30 mutants that lack functional D neurons generate rhythmic sinusoidal movement with a reduced amplitude (McIntire et al., 1993).
